# V, B-V, Distance, M_V
1.383999999999999986e+01,5.130000000000000115e-01,1.730702665282104590e+03,2.648887687540891989e+00
1.059999999999999964e+01,1.637999999999999901e+00,7.221259387637203417e+02,1.306935274336685993e+00
1.267999999999999972e+01,5.280000000000000249e-01,7.083156254426972964e+02,3.428865887798323797e+00
1.534999999999999964e+01,1.127999999999999892e+00,5.012280086211217167e+02,6.849823343120776897e+00
1.433000000000000007e+01,6.989999999999999547e-01,1.073883161512027527e+03,4.175214836529066886e+00
1.317999999999999972e+01,8.139999999999999458e-01,3.906707817322342748e+02,5.220945342224773356e+00
1.507000000000000028e+01,5.679999999999999494e-01,1.078167115902964952e+03,4.906569591435417266e+00
1.492999999999999972e+01,5.170000000000000151e-01,2.733734281027884208e+03,2.746218505701989443e+00
1.408999999999999986e+01,1.131000000000000005e+00,1.855218730288301003e+02,7.748024398554228753e+00
1.251999999999999957e+01,6.720000000000000417e-01,3.810249571346923290e+02,4.615232885520796913e+00
1.558000000000000007e+01,4.490000000000000102e-01,2.220741727737064139e+03,3.847509734814662963e+00
1.160999999999999943e+01,4.359999999999999987e-01,5.254308532997057455e+02,3.007422145146049886e+00
1.475000000000000000e+01,1.050000000000000044e+00,3.031037827352085401e+02,7.342043218017112238e+00
1.063000000000000078e+01,1.137999999999999901e+00,4.266666666666666430e+01,7.479556425358971694e+00
1.498000000000000043e+01,3.980000000000000204e-01,2.083767451552406783e+03,3.385753749662107737e+00
1.503999999999999915e+01,4.570000000000000173e-01,2.161694768698659573e+03,3.366028142173000504e+00
1.500000000000000000e+01,6.420000000000000151e-01,1.387925052047189411e+03,4.288169925750040079e+00
1.575000000000000000e+01,5.430000000000000382e-01,2.274795268425841641e+03,3.965288418757264566e+00
1.507000000000000028e+01,1.161999999999999922e+00,1.937984496124031011e+03,3.633248508136055932e+00
1.210999999999999943e+01,5.979999999999999760e-01,4.319841029850101108e+02,3.932661174639799029e+00
1.591999999999999993e+01,4.769999999999999796e-01,2.465483234714003629e+03,3.960489731626397614e+00
1.177999999999999936e+01,1.048000000000000043e+00,1.135460429204042157e+03,1.504139981716081209e+00
1.364000000000000057e+01,7.289999999999999813e-01,5.188336619279858724e+02,5.064859273239347814e+00
1.393999999999999950e+01,1.191000000000000059e+00,1.933824524762623014e+02,7.507914681732385631e+00
1.296000000000000085e+01,6.099999999999999867e-01,5.291285253187999160e+02,4.342194125106544789e+00
1.447000000000000064e+01,7.289999999999999813e-01,5.810575246949447319e+02,5.648904351637801469e+00
1.497000000000000064e+01,1.163999999999999924e+00,3.045808966861598606e+02,7.551486695478518030e+00
1.494999999999999929e+01,8.090000000000000524e-01,9.436633009342266405e+02,5.075914671677244527e+00
1.181000000000000050e+01,4.859999999999999876e-01,3.796218965909953909e+02,3.913243727082781120e+00
1.443999999999999950e+01,5.669999999999999485e-01,9.566631589017507622e+02,4.536204751979253658e+00
1.203999999999999915e+01,6.290000000000000036e-01,3.017046311660884044e+02,4.642090116767745300e+00
1.167999999999999972e+01,5.290000000000000258e-01,3.674444240308653775e+02,3.854041693265461532e+00
1.133000000000000007e+01,9.320000000000000506e-01,4.115226337448559661e+02,3.258031367991561567e+00
1.166999999999999993e+01,6.069999999999999840e-01,2.270972430394694754e+02,4.888940690416360368e+00
1.166999999999999993e+01,6.550000000000000266e-01,2.714072465734835191e+02,4.501892804294049810e+00
1.163000000000000078e+01,8.549999999999999822e-01,1.135305737835199125e+02,6.354435836079977307e+00
1.197000000000000064e+01,8.519999999999999796e-01,1.661405549094533853e+02,5.867621716623949268e+00
1.155000000000000071e+01,4.879999999999999893e-01,3.502136303144918656e+02,3.828334775912006549e+00
1.161999999999999922e+01,1.082999999999999963e+00,1.514692517418963916e+03,7.183775999714629990e-01
1.266000000000000014e+01,8.169999999999999485e-01,2.807411566535653947e+03,4.184695756361236363e-01
1.225999999999999979e+01,7.500000000000000000e-01,4.561419513752679791e+02,3.964499919293562158e+00
1.226999999999999957e+01,5.450000000000000400e-01,3.568879371877230255e+02,4.507340654748777098e+00
1.428999999999999915e+01,6.380000000000000115e-01,1.019679820536351599e+03,4.247680876500155023e+00
1.173000000000000043e+01,3.009999999999999898e-01,5.345306820611502872e+02,3.090136806182332663e+00
1.119999999999999929e+01,1.219000000000000083e+00,9.222539887485013423e+02,1.375747288867312790e+00
1.158999999999999986e+01,1.417999999999999927e+00,2.365184484389782483e+03,-2.793251068230553358e-01
1.130000000000000071e+01,7.119999999999999662e-01,1.932852697295938924e+02,4.869006211463968725e+00
1.122000000000000064e+01,1.290000000000000036e+00,1.076658053402239602e+03,1.059611033652586798e+00
1.431000000000000050e+01,1.306000000000000050e+00,1.924816661213019700e+02,7.888053153674626117e+00
1.168999999999999950e+01,8.249999999999999556e-01,1.368531975749613423e+02,6.008725254223699963e+00
1.000999999999999979e+01,1.469999999999999918e-01,6.569007422978387467e+02,9.225012368959983888e-01
1.482000000000000028e+01,9.060000000000000275e-01,5.985515053570359214e+02,5.934492363047109365e+00
1.444999999999999929e+01,1.181000000000000050e+00,2.576854691163965185e+02,7.394550353122319564e+00
1.563000000000000078e+01,7.910000000000000364e-01,1.035089535244798753e+03,5.555110410547674960e+00
1.267999999999999972e+01,7.780000000000000249e-01,2.556694705085265582e+02,5.641605639908735981e+00
1.561999999999999922e+01,1.000999999999999890e+00,8.838607035531200609e+02,5.888080872021950185e+00
