# K, H-K
1.436700000000000088e+01,1.596999999999999531e+00
1.471799999999999997e+01,1.522999999999999687e+00
1.646600000000000108e+01,-1.050000000000004263e-01
1.594400000000000084e+01,2.211000000000000298e+00
1.749899999999999878e+01,1.594000000000001194e+00
1.648300000000000054e+01,1.096000000000000085e+00
1.744500000000000028e+01,1.414999999999999147e+00
1.406300000000000061e+01,1.617999999999998550e+00
1.297300000000000075e+01,1.769000000000000128e+00
1.787199999999999989e+01,1.277999999999998693e+00
1.422799999999999976e+01,1.493000000000000327e+00
1.563199999999999967e+01,1.461000000000000298e+00
1.461299999999999955e+01,1.373000000000001108e+00
1.509399999999999942e+01,1.391000000000000014e+00
1.220100000000000051e+01,1.581999999999998963e+00
1.559399999999999942e+01,2.055999999999999162e+00
1.467900000000000027e+01,1.067999999999999616e+00
1.520500000000000007e+01,1.415000000000000924e+00
1.521100000000000030e+01,1.258000000000000895e+00
1.512199999999999989e+01,2.818000000000001393e+00
1.766400000000000148e+01,6.869999999999976126e-01
1.586400000000000077e+01,8.559999999999980957e-01
1.581499999999999950e+01,1.546999999999998820e+00
1.467300000000000004e+01,1.953999999999998849e+00
1.658500000000000085e+01,1.962999999999997414e+00
1.686599999999999966e+01,1.955000000000001847e+00
1.740599999999999881e+01,-5.459999999999993747e-01
1.411800000000000033e+01,3.130000000000000782e+00
1.523600000000000065e+01,1.364999999999998437e+00
1.538400000000000034e+01,1.431000000000000938e+00
1.663599999999999923e+01,1.512000000000000455e+00
1.683999999999999986e+01,1.751999999999998892e+00
1.548900000000000077e+01,1.548999999999999488e+00
1.384800000000000075e+01,1.628000000000000114e+00
1.698999999999999844e+01,1.335000000000000853e+00
1.735300000000000153e+01,3.099999999999987210e-01
1.662000000000000099e+01,3.369999999999997442e-01
1.735900000000000176e+01,1.551999999999999602e+00
1.435899999999999999e+01,1.700000000000001066e+00
1.385100000000000087e+01,1.403999999999999915e+00
1.313000000000000078e+01,1.591999999999998749e+00
1.451500000000000057e+01,1.480999999999999872e+00
1.267999999999999972e+01,1.412000000000000810e+00
1.506199999999999939e+01,1.761000000000001009e+00
1.451900000000000013e+01,1.470000000000002416e-01
1.503700000000000081e+01,1.336000000000000298e+00
1.465199999999999925e+01,1.567000000000001947e+00
1.565900000000000070e+01,2.080000000000001847e-01
1.510500000000000043e+01,2.291999999999998039e+00
1.459200000000000053e+01,2.136000000000001009e+00
1.515499999999999936e+01,1.305999999999999162e+00
1.463499999999999979e+01,1.361000000000000654e+00
1.590399999999999991e+01,1.496999999999999886e+00
1.411100000000000065e+01,1.053999999999998494e+00
1.597600000000000087e+01,1.732999999999998764e+00
1.370299999999999940e+01,1.287000000000000810e+00
1.612699999999999889e+01,1.189000000000000057e+00
1.594200000000000017e+01,1.926999999999999602e+00
1.748699999999999832e+01,1.729000000000002757e+00
1.525600000000000023e+01,1.649000000000000909e+00
1.449000000000000021e+01,1.340000000000003411e-01
1.181300000000000061e+01,1.500000000000000000e+00
1.564600000000000080e+01,6.499999999999950262e-02
1.494800000000000040e+01,1.175999999999998380e+00
1.464700000000000024e+01,1.444000000000000838e+00
1.481700000000000017e+01,1.187000000000001165e+00
1.503999999999999915e+01,1.365000000000001990e+00
1.542699999999999960e+01,7.609999999999992326e-01
1.509200000000000053e+01,1.395999999999999019e+00
1.420700000000000074e+01,1.328999999999998849e+00
1.433999999999999986e+01,1.458000000000000185e+00
1.561999999999999922e+01,1.298000000000000043e+00
1.444699999999999918e+01,2.443000000000001393e+00
1.209299999999999997e+01,1.689000000000000057e+00
1.672400000000000020e+01,4.289999999999984936e-01
1.507000000000000028e+01,1.451000000000000512e+00
1.267300000000000004e+01,1.387000000000000455e+00
1.481400000000000006e+01,1.454000000000000625e+00
1.589100000000000001e+01,6.650000000000009237e-01
1.075500000000000078e+01,2.660000000000000142e-01
1.557900000000000063e+01,6.439999999999983515e-01
1.707100000000000151e+01,1.553999999999998494e+00
1.666100000000000136e+01,5.719999999999991758e-01
1.751300000000000168e+01,1.128999999999997783e+00
1.737900000000000134e+01,1.425999999999998380e+00
1.699699999999999989e+01,1.484000000000001762e+00
1.620400000000000063e+01,1.422000000000000597e+00
1.456700000000000017e+01,1.509000000000000341e+00
1.625300000000000011e+01,1.900999999999999801e+00
1.205700000000000038e+01,1.565999999999998948e+00
1.448799999999999955e+01,1.111000000000000654e+00
1.734299999999999997e+01,1.492999999999998550e+00
1.072300000000000075e+01,5.299999999999993605e-01
1.553200000000000003e+01,1.356000000000001648e+00
1.489600000000000080e+01,1.428000000000000824e+00
1.683899999999999864e+01,1.924000000000003041e+00
1.503999999999999915e+01,1.120000000000000995e-01
1.597799999999999976e+01,1.575000000000001066e+00
1.395800000000000018e+01,1.571999999999999176e+00
1.306799999999999962e+01,1.403999999999999915e+00
1.750799999999999912e+01,1.252000000000002444e+00
1.787500000000000000e+01,-1.324999999999999289e+00
1.471000000000000085e+01,2.144999999999999574e+00
1.475099999999999945e+01,2.860000000000001208e+00
1.682999999999999829e+01,1.853000000000001535e+00
1.551200000000000045e+01,1.297000000000000597e+00
1.761100000000000065e+01,-4.980000000000011084e-01
1.285200000000000031e+01,1.554999999999999716e+00
1.649800000000000111e+01,6.429999999999971294e-01
1.595800000000000018e+01,1.401999999999999247e+00
1.661199999999999832e+01,1.374000000000002331e+00
1.490099999999999980e+01,2.219999999999995310e-01
1.629799999999999827e+01,8.200000000000002842e-01
1.780099999999999838e+01,1.353000000000001535e+00
1.674699999999999989e+01,1.658000000000001251e+00
1.560699999999999932e+01,1.327999999999999403e+00
1.476399999999999935e+01,1.606999999999999318e+00
1.548300000000000054e+01,1.716999999999998749e+00
1.475300000000000011e+01,1.388999999999999346e+00
1.570800000000000018e+01,1.432999999999998053e+00
1.703000000000000114e+01,2.195999999999997954e+00
1.666100000000000136e+01,1.635999999999999233e+00
1.694999999999999929e+01,1.519999999999999574e+00
1.725199999999999889e+01,1.339999999999999858e+00
1.542600000000000016e+01,1.816999999999998394e+00
1.466900000000000048e+01,1.609999999999999432e+00
1.756400000000000006e+01,1.501000000000001222e+00
1.530100000000000016e+01,1.645999999999999019e+00
1.714499999999999957e+01,1.070000000000000284e+00
1.569999999999999929e+01,1.408000000000001251e+00
1.599300000000000033e+01,8.179999999999996163e-01
1.479700000000000060e+01,1.182999999999999829e+00
1.413899999999999935e+01,1.274000000000000909e+00
1.570899999999999963e+01,4.980000000000011084e-01
1.722500000000000142e+01,1.630000000000002558e-01
1.730399999999999849e+01,2.740000000000009095e-01
1.410899999999999999e+01,1.564999999999999503e+00
1.744200000000000017e+01,1.094000000000001194e+00
1.501500000000000057e+01,1.772999999999999687e+00
1.476399999999999935e+01,1.609000000000001762e+00
1.445599999999999952e+01,1.310000000000000497e+00
1.735500000000000043e+01,1.472999999999998977e+00
1.701999999999999957e+01,1.460000000000000853e+00
1.745599999999999952e+01,9.840000000000017621e-01
1.634600000000000009e+01,1.585000000000000853e+00
1.674099999999999966e+01,2.132999999999999119e+00
1.460800000000000054e+01,1.498000000000001108e+00
1.390900000000000070e+01,1.211999999999999744e+00
1.451500000000000057e+01,1.453999999999998849e+00
1.504499999999999993e+01,9.139999999999997016e-01
1.257600000000000051e+01,1.555999999999999162e+00
1.452299999999999969e+01,2.270000000000003126e-01
1.204700000000000060e+01,1.389999999999998792e+00
1.706800000000000139e+01,1.329999999999998295e+00
1.077500000000000036e+01,4.559999999999995168e-01
1.537100000000000044e+01,1.691000000000000725e+00
1.499399999999999977e+01,1.611000000000000654e+00
1.701200000000000045e+01,7.059999999999995168e-01
1.796799999999999997e+01,6.729999999999982663e-01
1.709600000000000009e+01,1.222999999999998977e+00
1.659799999999999898e+01,1.356999999999999318e+00
1.783500000000000085e+01,6.089999999999982094e-01
1.468200000000000038e+01,1.560999999999998167e+00
1.779500000000000171e+01,1.007999999999999119e+00
1.371100000000000030e+01,1.680999999999999162e+00
1.398600000000000065e+01,1.513999999999999346e+00
1.729599999999999937e+01,1.286000000000001364e+00
1.533500000000000085e+01,1.480999999999998096e+00
1.532399999999999984e+01,1.392000000000001236e+00
1.411800000000000033e+01,1.020000000000003126e-01
1.458799999999999919e+01,1.672000000000002373e+00
1.669399999999999906e+01,9.619999999999997442e-01
